ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,Children_Bac_Count,Children_Shrink_bac_Count,Location_Center_X,Location_Center_Y,Location_Center_Z
1,1,nan,003,1,nan,0,001,001,0,001,A003,321.0,0.0,1.0,0,0,325.17527173913044,12.585597826086957,0
1,2,nan,003,1,nan,0,001,001,0,001,A003,356.0,4.0,1.0,0,0,358.52411067193674,15.771541501976285,0
1,3,nan,003,1,nan,0,001,001,0,001,A003,410.0,0.0,1.0,4,4,414.74823344674166,30.721538864171684,0
1,4,nan,003,1,nan,0,001,001,0,001,A003,821.0,0.0,1.0,0,0,820.8372384937238,18.706694560669455,0
1,5,nan,003,1,nan,0,001,001,0,001,A003,923.0,0.0,1.0,0,0,919.2184557438794,13.367859384808538,0
1,6,nan,003,1,nan,0,001,001,0,001,A003,1359.0,0.0,1.0,0,0,1337.3644408688656,25.25985518905873,0
1,7,nan,003,1,nan,0,001,001,0,001,A003,1276.0,0.0,1.0,0,0,1276.6249021143306,11.610806577916993,0
1,8,nan,003,1,nan,0,001,001,0,001,A003,181.0,1.0,1.0,0,0,174.2271702367531,15.413754227733934,0
1,9,nan,003,1,nan,0,001,001,0,001,A003,231.0,2.0,1.0,0,0,222.43530997304583,17.49056603773585,0
1,10,nan,003,1,nan,0,001,001,0,001,A003,679.0,32.0,1.0,0,0,678.8858024691358,35.17993827160494,0
1,11,nan,003,1,nan,0,001,001,0,001,A003,874.0,29.0,1.0,1,1,909.8422367409685,36.53727901614143,0
1,12,nan,003,1,nan,0,001,001,0,001,A003,499.0,23.0,1.0,0,0,496.60395561987457,38.928123492522914,0
1,13,nan,003,1,nan,0,001,001,0,001,A003,279.0,35.0,1.0,0,0,295.77983043284246,57.43355644801428,0
1,14,nan,003,1,nan,0,001,001,0,001,A003,1186.0,0.0,1.0,1,1,1195.5556265984656,33.4298273657289,0
1,15,nan,003,1,nan,0,001,001,0,001,A003,749.0,58.0,1.0,0,0,748.8874560375147,57.75487583928381,0
1,16,nan,003,1,nan,0,001,001,0,001,A003,462.0,55.0,1.0,0,0,454.8933177022274,70.50967174677608,0
1,17,nan,003,1,nan,0,001,001,0,001,A003,1069.0,38.0,1.0,1,1,1071.539948081915,35.17161811364292,0
1,18,nan,003,1,nan,0,001,001,0,001,A003,1122.0,46.0,1.0,0,0,1117.0946372239748,51.51261829652997,0
1,19,nan,003,1,nan,0,001,001,0,001,A003,176.0,53.0,1.0,1,1,177.49490229396773,54.665250637213255,0
1,20,nan,003,1,nan,0,001,001,0,001,A003,328.0,74.0,1.0,0,0,327.0445246690734,75.63537906137184,0
1,21,nan,003,1,nan,0,001,001,0,001,A003,1280.0,72.0,1.0,0,0,1281.512909979065,75.72906489881368,0
1,22,nan,003,1,nan,0,001,001,0,001,A003,208.0,88.0,1.0,0,0,201.7184068891281,91.26523143164694,0
1,23,nan,003,1,nan,0,001,001,0,001,A003,537.0,72.0,1.0,0,0,551.5111711269335,61.549717652835746,0
1,24,nan,003,1,nan,0,001,001,0,001,A003,882.0,78.0,1.0,0,0,874.110807113543,72.08846329229367,0
1,25,nan,003,1,nan,0,001,001,0,001,A003,1333.0,96.0,1.0,0,0,1336.0612679808205,95.76025572722429,0
1,26,nan,003,1,nan,0,001,001,0,001,A003,1116.0,104.0,1.0,1,1,1119.5786358511837,99.68207440811724,0
1,27,nan,003,1,nan,0,001,001,0,001,A003,899.0,103.0,1.0,0,0,906.5147717099373,91.22023276633841,0
1,28,nan,003,1,nan,0,001,001,0,001,A003,949.0,80.0,1.0,0,0,945.6973478939158,87.79531981279251,0
1,29,nan,003,1,nan,0,001,001,0,001,A003,507.0,119.0,1.0,0,0,527.3802181818182,115.66530909090909,0
1,30,nan,003,1,nan,0,001,001,0,001,A003,55.0,97.0,1.0,0,0,57.00866083830378,101.28123212680775,0
1,31,nan,003,1,nan,0,001,001,0,001,A003,1055.0,118.0,1.0,3,2,1037.3242843040473,90.32823297137216,0
1,32,nan,003,1,nan,0,001,001,0,001,A003,838.0,123.0,1.0,5,5,838.046522556391,125.7250939849624,0
1,33,nan,003,1,nan,0,001,001,0,001,A003,1179.0,125.0,1.0,0,0,1174.713130453288,125.06235369227495,0
1,34,nan,003,1,nan,0,001,001,0,001,A003,652.0,106.0,1.0,1,1,645.6961498439126,110.27601456815817,0
1,35,nan,003,1,nan,0,001,001,0,001,A003,966.0,147.0,1.0,0,0,959.9759425856666,160.5569594662893,0
1,36,nan,003,1,nan,0,001,001,0,001,A003,1334.0,135.0,1.0,0,0,1326.9697142857142,133.768,0
1,37,nan,003,1,nan,0,001,001,0,001,A003,898.0,139.0,1.0,4,3,899.3939544103073,140.8587710604559,0
1,38,nan,003,1,nan,0,001,001,0,001,A003,1261.0,133.0,1.0,0,0,1261.9530408006158,137.72055427251732,0
1,39,nan,003,1,nan,0,001,001,0,001,A003,1292.0,143.0,1.0,0,0,1289.6118760757315,145.09810671256454,0
1,40,nan,003,1,nan,0,001,001,0,001,A003,1093.0,175.0,1.0,2,2,1095.755138746146,169.4640287769784,0
1,41,nan,003,1,nan,0,001,001,0,001,A003,693.0,154.0,1.0,0,0,697.9524334758031,161.0515648697091,0
1,42,nan,003,1,nan,0,001,001,0,001,A003,890.0,183.0,1.0,0,0,887.3514872224549,185.21030582320904,0
1,43,nan,003,1,nan,0,001,001,0,001,A003,376.0,187.0,1.0,0,0,370.22259910960355,182.77909688361245,0
1,44,nan,003,1,nan,0,001,001,0,001,A003,584.0,182.0,1.0,0,0,584.1090606816292,182.09260182876142,0
1,45,nan,003,1,nan,0,001,001,0,001,A003,1333.0,191.0,1.0,0,0,1309.6568726101832,193.77138257194608,0
1,46,nan,003,1,nan,0,001,001,0,001,A003,662.0,228.0,1.0,0,0,657.5478889027277,224.47291069871716,0
1,47,nan,003,1,nan,0,001,001,0,001,A003,275.0,210.0,1.0,0,0,273.282058094226,208.0867871059157,0
1,48,nan,003,1,nan,0,001,001,0,001,A003,118.0,208.0,1.0,0,0,111.38169058342935,204.14025348276945,0
1,49,nan,003,1,nan,0,001,001,0,001,A003,1157.0,232.0,1.0,3,3,1164.9332597033765,232.83527926790785,0
1,50,nan,003,1,nan,0,001,001,0,001,A003,1055.0,238.0,1.0,0,0,1057.6460239268122,237.3556181093127,0
1,51,nan,003,1,nan,0,001,001,0,001,A003,567.0,265.0,1.0,2,2,561.7563586459287,255.79277218664228,0
1,52,nan,003,1,nan,0,001,001,0,001,A003,1226.0,243.0,1.0,0,0,1229.1632112236944,237.34014029618083,0
1,53,nan,003,1,nan,0,001,001,0,001,A003,22.0,234.0,1.0,0,0,33.943982387475536,239.1100782778865,0
1,54,nan,003,1,nan,0,001,001,0,001,A003,981.0,260.0,1.0,0,0,981.5442415730337,255.73033707865167,0
1,55,nan,003,1,nan,0,001,001,0,001,A003,778.0,257.0,1.0,3,3,779.3583333333333,252.72347670250895,0
1,56,nan,003,1,nan,0,001,001,0,001,A003,219.0,274.0,1.0,0,0,213.9620596205962,264.4006000774294,0
1,57,nan,003,1,nan,0,001,001,0,001,A003,0.0,284.0,1.0,0,0,63.21872427983539,286.77551440329216,0
1,58,nan,003,1,nan,0,001,001,0,001,A003,1359.0,271.0,1.0,0,0,1339.0709599027946,266.4838396111786,0
1,59,nan,003,1,nan,0,001,001,0,001,A003,847.0,290.0,1.0,0,0,832.0021757148777,298.081744716121,0
1,60,nan,003,1,nan,0,001,001,0,001,A003,430.0,289.0,1.0,1,1,428.2845662476818,290.0092726148774,0
