ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,Parent_Bac
2,1,nan,003,10,nan,0,001,001,0,001,A003,23
3,1,nan,003,2,nan,0,001,001,0,001,A003,35
3,2,nan,003,2,nan,0,001,001,0,001,A003,39
3,3,nan,003,2,nan,0,001,001,0,001,A003,42
3,4,nan,003,2,nan,0,001,001,0,001,A003,50
3,5,nan,003,2,nan,0,001,001,0,001,A003,51
3,6,nan,003,2,nan,0,001,001,0,001,A003,58
4,1,nan,003,3,nan,0,001,001,0,001,A003,11
4,2,nan,003,3,nan,0,001,001,0,001,A003,18
5,1,nan,003,4,nan,0,001,001,0,001,A003,10
8,1,nan,003,7,nan,0,001,001,0,001,A003,49
9,1,nan,003,8,nan,0,001,001,0,001,A003,28
10,1,nan,003,9,nan,0,001,001,0,001,A003,12
10,2,nan,003,9,nan,0,001,001,0,001,A003,33
13,1,nan,022,2,nan,0,001,001,0,001,A022,38
13,2,nan,022,2,nan,0,001,001,0,001,A022,39
13,3,nan,022,2,nan,0,001,001,0,001,A022,53
14,1,nan,022,3,nan,0,001,001,0,001,A022,2
14,2,nan,022,3,nan,0,001,001,0,001,A022,3
14,3,nan,022,3,nan,0,001,001,0,001,A022,35
14,4,nan,022,3,nan,0,001,001,0,001,A022,39
15,1,nan,022,4,nan,0,001,001,0,001,A022,2
16,1,nan,022,5,nan,0,001,001,0,001,A022,29
18,1,nan,022,7,nan,0,001,001,0,001,A022,4
18,2,nan,022,7,nan,0,001,001,0,001,A022,47
18,3,nan,022,7,nan,0,001,001,0,001,A022,57
19,1,nan,022,8,nan,0,001,001,0,001,A022,59
20,1,nan,022,9,nan,0,001,001,0,001,A022,11
21,1,nan,001,1,nan,0,001,008,0,001,H001,3
21,2,nan,001,1,nan,0,001,008,0,001,H001,52
21,3,nan,001,1,nan,0,001,008,0,001,H001,54
21,4,nan,001,1,nan,0,001,008,0,001,H001,59
21,5,nan,001,1,nan,0,001,008,0,001,H001,63
21,6,nan,001,1,nan,0,001,008,0,001,H001,64
22,1,nan,001,10,nan,0,001,008,0,001,H001,36
22,2,nan,001,10,nan,0,001,008,0,001,H001,42
24,1,nan,001,3,nan,0,001,008,0,001,H001,25
24,2,nan,001,3,nan,0,001,008,0,001,H001,65
25,1,nan,001,4,nan,0,001,008,0,001,H001,32
26,1,nan,001,5,nan,0,001,008,0,001,H001,13
26,2,nan,001,5,nan,0,001,008,0,001,H001,18
26,3,nan,001,5,nan,0,001,008,0,001,H001,20
26,4,nan,001,5,nan,0,001,008,0,001,H001,22
26,5,nan,001,5,nan,0,001,008,0,001,H001,26
26,6,nan,001,5,nan,0,001,008,0,001,H001,31
26,7,nan,001,5,nan,0,001,008,0,001,H001,45
26,8,nan,001,5,nan,0,001,008,0,001,H001,49
27,1,nan,001,6,nan,0,001,008,0,001,H001,1
27,2,nan,001,6,nan,0,001,008,0,001,H001,4
27,3,nan,001,6,nan,0,001,008,0,001,H001,9
27,4,nan,001,6,nan,0,001,008,0,001,H001,10
27,5,nan,001,6,nan,0,001,008,0,001,H001,16
27,6,nan,001,6,nan,0,001,008,0,001,H001,25
27,7,nan,001,6,nan,0,001,008,0,001,H001,26
27,8,nan,001,6,nan,0,001,008,0,001,H001,32
28,1,nan,001,7,nan,0,001,008,0,001,H001,1
28,2,nan,001,7,nan,0,001,008,0,001,H001,2
28,3,nan,001,7,nan,0,001,008,0,001,H001,3
28,4,nan,001,7,nan,0,001,008,0,001,H001,12
28,5,nan,001,7,nan,0,001,008,0,001,H001,14
28,6,nan,001,7,nan,0,001,008,0,001,H001,15
28,7,nan,001,7,nan,0,001,008,0,001,H001,18
28,8,nan,001,7,nan,0,001,008,0,001,H001,20
28,9,nan,001,7,nan,0,001,008,0,001,H001,29
28,10,nan,001,7,nan,0,001,008,0,001,H001,35
28,11,nan,001,7,nan,0,001,008,0,001,H001,36
28,12,nan,001,7,nan,0,001,008,0,001,H001,61
28,13,nan,001,7,nan,0,001,008,0,001,H001,62
29,1,nan,001,8,nan,0,001,008,0,001,H001,48
30,1,nan,001,9,nan,0,001,008,0,001,H001,1
30,2,nan,001,9,nan,0,001,008,0,001,H001,2
30,3,nan,001,9,nan,0,001,008,0,001,H001,4
30,4,nan,001,9,nan,0,001,008,0,001,H001,5
30,5,nan,001,9,nan,0,001,008,0,001,H001,37
31,1,nan,024,1,nan,0,001,008,0,001,H024,13
32,1,nan,024,10,nan,0,001,008,0,001,H024,1
32,2,nan,024,10,nan,0,001,008,0,001,H024,10
32,3,nan,024,10,nan,0,001,008,0,001,H024,11
32,4,nan,024,10,nan,0,001,008,0,001,H024,23
32,5,nan,024,10,nan,0,001,008,0,001,H024,47
33,1,nan,024,2,nan,0,001,008,0,001,H024,68
36,1,nan,024,5,nan,0,001,008,0,001,H024,28
36,2,nan,024,5,nan,0,001,008,0,001,H024,45
37,1,nan,024,6,nan,0,001,008,0,001,H024,68
37,2,nan,024,6,nan,0,001,008,0,001,H024,69
37,3,nan,024,6,nan,0,001,008,0,001,H024,70
38,1,nan,024,7,nan,0,001,008,0,001,H024,29
39,1,nan,024,8,nan,0,001,008,0,001,H024,3
39,2,nan,024,8,nan,0,001,008,0,001,H024,4
40,1,nan,024,9,nan,0,001,008,0,001,H024,39
40,2,nan,024,9,nan,0,001,008,0,001,H024,42
41,1,nan,003,1,nan,0,001,011,0,001,K003,24
41,2,nan,003,1,nan,0,001,011,0,001,K003,57
42,1,nan,003,10,nan,0,001,011,0,001,K003,18
42,2,nan,003,10,nan,0,001,011,0,001,K003,19
42,3,nan,003,10,nan,0,001,011,0,001,K003,20
42,4,nan,003,10,nan,0,001,011,0,001,K003,22
42,5,nan,003,10,nan,0,001,011,0,001,K003,45
43,1,nan,003,2,nan,0,001,011,0,001,K003,14
43,2,nan,003,2,nan,0,001,011,0,001,K003,41
45,1,nan,003,4,nan,0,001,011,0,001,K003,8
45,2,nan,003,4,nan,0,001,011,0,001,K003,9
45,3,nan,003,4,nan,0,001,011,0,001,K003,10
45,4,nan,003,4,nan,0,001,011,0,001,K003,13
46,1,nan,003,5,nan,0,001,011,0,001,K003,4
46,2,nan,003,5,nan,0,001,011,0,001,K003,28
48,1,nan,003,7,nan,0,001,011,0,001,K003,40
48,2,nan,003,7,nan,0,001,011,0,001,K003,42
49,1,nan,003,8,nan,0,001,011,0,001,K003,1
49,2,nan,003,8,nan,0,001,011,0,001,K003,34
49,3,nan,003,8,nan,0,001,011,0,001,K003,40
49,4,nan,003,8,nan,0,001,011,0,001,K003,41
50,1,nan,003,9,nan,0,001,011,0,001,K003,70
51,1,nan,022,1,nan,0,001,011,0,001,K022,12
51,2,nan,022,1,nan,0,001,011,0,001,K022,27
54,1,nan,022,3,nan,0,001,011,0,001,K022,45
55,1,nan,022,4,nan,0,001,011,0,001,K022,39
55,2,nan,022,4,nan,0,001,011,0,001,K022,40
56,1,nan,022,5,nan,0,001,011,0,001,K022,4
56,2,nan,022,5,nan,0,001,011,0,001,K022,8
56,3,nan,022,5,nan,0,001,011,0,001,K022,16
56,4,nan,022,5,nan,0,001,011,0,001,K022,25
57,1,nan,022,6,nan,0,001,011,0,001,K022,26
58,1,nan,022,7,nan,0,001,011,0,001,K022,16
58,2,nan,022,7,nan,0,001,011,0,001,K022,91
59,1,nan,022,8,nan,0,001,011,0,001,K022,5
59,2,nan,022,8,nan,0,001,011,0,001,K022,11
59,3,nan,022,8,nan,0,001,011,0,001,K022,12
60,1,nan,022,9,nan,0,001,011,0,001,K022,34
60,2,nan,022,9,nan,0,001,011,0,001,K022,36
60,3,nan,022,9,nan,0,001,011,0,001,K022,38
