ImageNumber,Mean_Bac_AreaShape_Center_X,Mean_Bac_AreaShape_Center_Y,Mean_Bac_AreaShape_Center_Z,Mean_Bac_Children_ExtraBac_Count,Mean_Bac_Children_IntraBac_Count,Mean_Bac_Distance_Centroid_Cell,Mean_Bac_Distance_Minimum_Cell,Mean_Bac_Location_Center_X,Mean_Bac_Location_Center_Y,Mean_Bac_Location_Center_Z,Mean_Bac_Parent_Cell,Mean_Cell_AreaShape_Center_X,Mean_Cell_AreaShape_Center_Y,Mean_Cell_AreaShape_Center_Z,Mean_Cell_Children_Bac_Count,Mean_Cell_Children_Shrink_bac_Count,Mean_Cell_Location_Center_X,Mean_Cell_Location_Center_Y,Mean_Cell_Location_Center_Z,Mean_ExtraBac_Parent_Bac,Mean_IntraBac_Parent_Bac,Mean_Nucleus_AreaShape_Center_X,Mean_Nucleus_AreaShape_Center_Y,Mean_Nucleus_AreaShape_Center_Z,Mean_Nucleus_Children_Bac_Count,Mean_Nucleus_Children_Shrink_bac_Count,Mean_Nucleus_Location_Center_X,Mean_Nucleus_Location_Center_Y,Mean_Nucleus_Location_Center_Z,Median_Bac_AreaShape_Center_X,Median_Bac_AreaShape_Center_Y,Median_Bac_AreaShape_Center_Z,Median_Bac_Children_ExtraBac_Count,Median_Bac_Children_IntraBac_Count,Median_Bac_Distance_Centroid_Cell,Median_Bac_Distance_Minimum_Cell,Median_Bac_Location_Center_X,Median_Bac_Location_Center_Y,Median_Bac_Location_Center_Z,Median_Bac_Parent_Cell,Median_Cell_AreaShape_Center_X,Median_Cell_AreaShape_Center_Y,Median_Cell_AreaShape_Center_Z,Median_Cell_Children_Bac_Count,Median_Cell_Children_Shrink_bac_Count,Median_Cell_Location_Center_X,Median_Cell_Location_Center_Y,Median_Cell_Location_Center_Z,Median_ExtraBac_Parent_Bac,Median_IntraBac_Parent_Bac,Median_Nucleus_AreaShape_Center_X,Median_Nucleus_AreaShape_Center_Y,Median_Nucleus_AreaShape_Center_Z,Median_Nucleus_Children_Bac_Count,Median_Nucleus_Children_Shrink_bac_Count,Median_Nucleus_Location_Center_X,Median_Nucleus_Location_Center_Y,Median_Nucleus_Location_Center_Z,StDev_Bac_AreaShape_Center_X,StDev_Bac_AreaShape_Center_Y,StDev_Bac_AreaShape_Center_Z,StDev_Bac_Children_ExtraBac_Count,StDev_Bac_Children_IntraBac_Count,StDev_Bac_Distance_Centroid_Cell,StDev_Bac_Distance_Minimum_Cell,StDev_Bac_Location_Center_X,StDev_Bac_Location_Center_Y,StDev_Bac_Location_Center_Z,StDev_Bac_Parent_Cell,StDev_Cell_AreaShape_Center_X,StDev_Cell_AreaShape_Center_Y,StDev_Cell_AreaShape_Center_Z,StDev_Cell_Children_Bac_Count,StDev_Cell_Children_Shrink_bac_Count,StDev_Cell_Location_Center_X,StDev_Cell_Location_Center_Y,StDev_Cell_Location_Center_Z,StDev_ExtraBac_Parent_Bac,StDev_IntraBac_Parent_Bac,StDev_Nucleus_AreaShape_Center_X,StDev_Nucleus_AreaShape_Center_Y,StDev_Nucleus_AreaShape_Center_Z,StDev_Nucleus_Children_Bac_Count,StDev_Nucleus_Children_Shrink_bac_Count,StDev_Nucleus_Location_Center_X,StDev_Nucleus_Location_Center_Y,StDev_Nucleus_Location_Center_Z
1,699.1549295774648,399.5492957746479,1.0,0.0,1.0,27.257492920469524,14.263510029612286,699.1524469156708,399.5175368197888,0.0,78.22535211267606,736.1902173913044,487.9021739130435,1.0,0.3858695652173913,0.3641304347826087,736.0376098160822,488.3650867937287,0.0,nan,36.0,735.2282608695652,487.0,1.0,0.27717391304347827,0.1956521739130435,735.2321763681862,487.26973302502074,0.0,675.0,393.0,1.0,0.0,1.0,21.04586819444835,14.00132073229237,673.7894736842105,393.6951219512195,0.0,83.0,761.5,461.0,1.0,0.0,0.0,760.3104259744034,460.3617953065019,0.0,nan,36.0,770.0,454.0,1.0,0.0,0.0,764.7280876246944,451.5295010708767,0.0,314.6455035404677,289.40564585304264,0.0,0.0,0.0,18.014957667731792,8.988089425947008,314.67588797235686,289.3531934044898,0.0,48.54537508123122,414.2053440966372,315.74642618317637,0.0,0.8772587642813872,0.8096002128988714,410.68537357377596,312.8876811661722,0.0,nan,20.493901531919196,413.2965722004329,314.5620316235423,0.0,0.7104198484407661,0.6209937763950304,412.3756519152566,313.2691337908461,0.0
2,479.55263157894734,519.9736842105264,1.0,0.02631578947368421,0.9736842105263158,26.276225308408414,14.176298597520953,479.51352590733546,519.9102804774566,0.0,60.26315789473684,673.8225806451613,521.8467741935484,1.0,0.29838709677419356,0.2903225806451613,674.4526404075066,521.8816303414102,0.0,23.0,19.405405405405407,674.2016129032259,521.4193548387096,1.0,0.21774193548387097,0.16129032258064516,673.8542156981347,521.4766514069402,0.0,472.5,440.0,1.0,0.0,1.0,26.451370868855822,13.074390911449017,472.0,439.75,0.0,57.5,688.5,507.0,1.0,0.0,0.0,685.628303774127,508.15065698378623,0.0,23.0,19.0,702.5,509.0,1.0,0.0,0.0,701.8671949821011,505.63508250996784,0.0,324.3627515580942,297.72819526347797,0.0,0.16007269816574266,0.16007269816574266,15.359972034774106,9.703257434203048,324.20896540295064,297.6429106339256,0.0,37.20192709392062,420.96414007852246,305.49325646838537,0.0,0.7068768053190195,0.7045267634787598,418.7682686571235,301.8016511194189,0.0,0.0,11.097746202792367,418.50195551704667,304.4941891699962,0.0,0.616447730444721,0.49817565198324193,418.5048160515053,303.2881413758553,0.0
3,795.275,520.2125,1.0,0.075,0.925,25.058354309954197,16.19610860903457,795.3534202348541,520.3345887238386,0.0,81.475,658.0434782608696,474.0993788819876,1.0,0.45962732919254656,0.4472049689440994,658.7760411118917,473.62296179245936,0.0,45.833333333333336,40.067567567567565,657.4844720496894,472.5031055900621,1.0,0.30434782608695654,0.2111801242236025,657.3504444115472,472.66714520250923,0.0,801.5,511.0,1.0,0.0,1.0,21.112832787834826,16.63157050725863,801.6830985915493,511.5320467593553,0.0,72.0,652.0,467.0,1.0,0.0,0.0,649.9880979893691,462.80522139749166,0.0,46.0,39.0,653.0,459.0,1.0,0.0,0.0,655.1736353960772,456.9524601854053,0.0,346.08499588251436,287.7712934671386,0.0,0.26339134382131846,0.26339134382131846,16.550386666294617,9.42072193962689,346.10706620143145,287.7756405936324,0.0,45.60344696401797,387.386999718156,321.7074633688063,0.0,1.0335597824264393,1.0024852417123586,384.8817319373533,317.387976134978,0.0,7.861650943380503,23.853341927501475,385.22707840025447,320.53658668942046,0.0,0.8193580145672871,0.6632307327185198,385.0894251387296,318.76294342638823,0.0
4,644.4193548387096,517.7096774193549,1.0,0.06451612903225806,0.9354838709677419,23.4842145642727,16.927853388673835,644.3671253575699,517.7306042604641,0.0,81.09677419354838,745.4058823529411,512.7941176470588,1.0,0.17058823529411765,0.17058823529411765,745.0480361375485,512.5720349369219,0.0,14.5,16.103448275862068,745.7294117647059,511.55882352941177,1.0,0.12941176470588237,0.12352941176470589,745.5514254524289,511.6331147787353,0.0,603.0,490.0,1.0,0.0,1.0,18.353716948063735,17.813074370914,602.6395348837209,490.5,0.0,79.0,812.0,505.5,1.0,0.0,0.0,813.1762102897087,498.8373585262374,0.0,14.5,16.0,816.0,510.0,1.0,0.0,0.0,818.3032230627473,508.8213559072179,0.0,373.0364311702396,285.29014020799235,0.0,0.24567010018915833,0.2456701001891583,14.463609081818191,8.271639523307119,373.0759016603978,285.39092626829375,0.0,50.806625703746796,414.4100767719142,307.495172550511,0.0,0.46051723590705484,0.46051723590705484,412.0409026655615,303.3555762874054,0.0,3.5,9.192743868591768,413.7055329077404,306.09373719754063,0.0,0.39965382944618894,0.3941176470588236,412.95376838747603,304.82718738839867,0.0
5,738.3684210526316,428.36842105263156,1.0,0.02631578947368421,0.9736842105263158,34.294868879402536,12.91835939402891,738.4010115784301,428.3252866625596,0.0,89.65789473684211,660.5247524752475,485.15841584158414,1.0,0.18316831683168316,0.17326732673267325,660.7096280816789,484.77911750793527,0.0,10.0,19.756756756756758,660.6435643564356,485.1485148514852,1.0,0.10891089108910891,0.0891089108910891,660.7361351148536,485.0955779704667,0.0,686.0,490.0,1.0,0.0,1.0,32.1078317813137,13.462901237076712,685.5661157024794,490.2326752948886,0.0,107.0,681.0,458.0,1.0,0.0,0.0,680.6925480952448,457.68987194025726,0.0,10.0,20.0,677.5,474.0,1.0,0.0,0.0,679.1618054310122,470.7784459682582,0.0,382.17331567404904,258.5382411958912,0.0,0.16007269816574266,0.16007269816574266,19.77850840655738,6.878832605854604,381.85520416393007,258.568683471724,0.0,53.034882421502594,412.9342381431689,310.0219964305077,0.0,0.5275704273628877,0.4716499560178772,410.54997508500463,307.3792405300772,0.0,0.0,10.999767578393216,411.56944445269176,309.3260603420042,0.0,0.35602286329436045,0.3177585452649745,410.65968431712497,308.07768939915127,0.0
6,652.3384615384615,407.84615384615387,1.0,0.0,1.0,28.402840150576836,13.287837624247938,652.3274493408612,407.9767861400515,0.0,76.4,632.520618556701,531.3865979381443,1.0,0.33505154639175255,0.31958762886597936,632.6714532734311,530.9916845878074,0.0,nan,33.0,632.1237113402062,529.680412371134,1.0,0.1958762886597938,0.12371134020618557,631.8123078289124,529.8559788809506,0.0,533.0,385.0,1.0,0.0,1.0,25.490654304895408,14.225851759267142,533.5,384.85714285714283,0.0,75.0,625.5,549.5,1.0,0.0,0.0,627.1611218623859,547.5530623209543,0.0,nan,33.0,617.0,547.5,1.0,0.0,0.0,619.8900047141511,549.0867154235384,0.0,383.54296828479346,260.42765011946324,0.0,0.0,0.0,16.055358449578975,6.980784224832516,383.4296909053411,260.4208455848635,0.0,49.29964892994051,393.6283794663018,302.9480238938843,0.0,0.7773257403568468,0.7536357477318377,392.4073088701565,300.59738288462336,0.0,nan,18.76166303929372,392.7075656492815,301.92393547415395,0.0,0.5303019030767705,0.43689938351375446,391.98958558617346,301.1171394896026,0.0
7,749.0877192982456,537.140350877193,1.0,0.0,1.0,22.688554628013705,14.624042039099905,749.162943021212,537.1290031045587,0.0,100.49122807017544,637.2717948717949,522.9692307692308,1.0,0.2923076923076923,0.28205128205128205,637.40438915473,521.7462102919616,0.0,nan,29.0,636.7179487179487,522.3794871794872,1.0,0.16923076923076924,0.12307692307692308,637.5199041698227,521.9943895325079,0.0,741.0,536.0,1.0,0.0,1.0,21.10680927774238,14.78346879450987,741.0,537.228813559322,0.0,104.0,610.0,510.0,1.0,0.0,0.0,616.0287677114642,510.1668867177185,0.0,nan,29.0,609.0,508.0,1.0,0.0,0.0,609.1622117400419,508.9296998420221,0.0,350.2378280040205,255.09320199711328,0.0,0.0,0.0,10.646655391085357,7.670159528566889,350.1942435206661,254.92093307058042,0.0,45.42513517326489,400.3000707473934,316.73980112603,0.0,0.7314841307441823,0.7284939838801955,399.2721277084999,312.87569929115136,0.0,nan,16.451950239004088,401.5659570767569,315.98661054032436,0.0,0.5702693228569427,0.4587952665916931,400.65274389159833,314.1020217042469,0.0
8,756.8787878787879,486.6363636363636,1.0,0.015151515151515152,0.9848484848484849,28.44819317413859,12.611355001339794,757.0147124140087,486.60667751306505,0.0,84.72727272727273,726.7292817679559,506.8674033149171,1.0,0.35911602209944754,0.34806629834254144,725.8526111115984,507.9647991141653,0.0,49.0,33.261538461538464,727.292817679558,507.50276243093924,1.0,0.2430939226519337,0.1712707182320442,726.9005514942174,507.3435909254024,0.0,756.0,426.5,1.0,0.0,1.0,27.080012308662432,10.017374780931565,756.0,425.9596774193549,0.0,75.0,761.0,518.0,1.0,0.0,0.0,764.6672191310524,520.7285459940653,0.0,49.0,33.0,767.0,512.0,1.0,0.0,0.0,764.9166926677067,517.9969845457972,0.0,358.5694858973817,278.0119158315928,0.0,0.1221554204287659,0.1221554204287659,13.14272882098887,9.904162882290416,358.5061256461895,278.055892777794,0.0,48.661647350506065,416.7406796977633,306.794772025007,0.0,0.7924277632816353,0.7762775006629196,413.8784842822537,303.7101740783851,0.0,0.0,19.09835024939381,416.30145712942533,306.91551601421116,0.0,0.6276495987434747,0.5133069458270467,414.97355700319986,304.40320281794374,0.0
9,567.9354838709677,506.51612903225805,1.0,0.03225806451612903,0.967741935483871,22.195609518356225,15.38844063839654,567.9962526647597,506.52960291417446,0.0,119.51612903225806,686.7892561983471,493.7314049586777,1.0,0.12396694214876033,0.10743801652892562,686.3427142005954,493.7376413235079,0.0,28.0,15.6,686.3099173553719,493.3512396694215,1.0,0.07024793388429752,0.05371900826446281,686.443151292185,493.238786815482,0.0,565.0,449.0,1.0,0.0,1.0,19.539754514217925,14.036889681060185,564.3948220064725,448.9148936170213,0.0,111.0,678.5,487.0,1.0,0.0,0.0,674.5781614248717,488.3981260485574,0.0,28.0,15.5,678.5,486.5,1.0,0.0,0.0,679.5281689250683,485.99354447471563,0.0,318.752602568388,242.28320817931393,0.0,0.17668469596940845,0.17668469596940845,13.691682677857564,7.856594680678691,318.67375891710486,242.32548310162275,0.0,58.28288686350945,404.39182094009817,309.2572516391726,0.0,0.4822510565585177,0.4599973570272974,403.3714980368737,306.53074236708784,0.0,0.0,8.815138493901651,404.36052850035213,308.947567996886,0.0,0.30017753096965294,0.25954229334615214,403.3862180727244,307.49730411400145,0.0
10,797.843137254902,509.96078431372547,1.0,0.0392156862745098,0.9607843137254902,26.315089468936197,17.78286665404498,797.9487488632527,509.974977967047,0.0,67.43137254901961,675.4057971014493,509.0072463768116,1.0,0.35507246376811596,0.34782608695652173,674.746904192846,507.4189389568809,0.0,22.5,26.142857142857142,675.7028985507246,508.40579710144925,1.0,0.1956521739130435,0.15942028985507245,675.7453677330261,508.3002467466842,0.0,924.0,527.0,1.0,0.0,1.0,21.703949930351815,14.095437487839053,924.0169491525423,526.542735042735,0.0,73.0,674.5,516.5,1.0,0.0,0.0,677.6960244984989,513.6470726122516,0.0,22.5,26.0,674.0,511.5,1.0,0.0,0.0,669.95526041825,513.8442787591592,0.0,331.23425586256064,271.00430217150296,0.0,0.1941077438551307,0.1941077438551307,16.54200686321889,11.808670406332745,331.27022391719834,270.89094949824107,0.0,37.818583927389085,401.5673394118795,316.91183102424907,0.0,0.8323245311678521,0.8222642291306831,399.55518923435636,311.34711360055184,0.0,10.5,14.848898811641467,400.485781278301,315.6569785104325,0.0,0.6239042063707843,0.6048880218756292,399.99317030719084,313.27563595068733,0.0
