ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,Parent_Bac
1,1,nan,003,1,nan,0,001,001,0,001,A003,1
1,2,nan,003,1,nan,0,001,001,0,001,A003,2
1,3,nan,003,1,nan,0,001,001,0,001,A003,3
1,4,nan,003,1,nan,0,001,001,0,001,A003,4
1,5,nan,003,1,nan,0,001,001,0,001,A003,5
1,6,nan,003,1,nan,0,001,001,0,001,A003,6
1,7,nan,003,1,nan,0,001,001,0,001,A003,7
1,8,nan,003,1,nan,0,001,001,0,001,A003,8
1,9,nan,003,1,nan,0,001,001,0,001,A003,9
1,10,nan,003,1,nan,0,001,001,0,001,A003,10
1,11,nan,003,1,nan,0,001,001,0,001,A003,11
1,12,nan,003,1,nan,0,001,001,0,001,A003,12
1,13,nan,003,1,nan,0,001,001,0,001,A003,13
1,14,nan,003,1,nan,0,001,001,0,001,A003,14
1,15,nan,003,1,nan,0,001,001,0,001,A003,15
1,16,nan,003,1,nan,0,001,001,0,001,A003,16
1,17,nan,003,1,nan,0,001,001,0,001,A003,17
1,18,nan,003,1,nan,0,001,001,0,001,A003,18
1,19,nan,003,1,nan,0,001,001,0,001,A003,19
1,20,nan,003,1,nan,0,001,001,0,001,A003,20
1,21,nan,003,1,nan,0,001,001,0,001,A003,21
1,22,nan,003,1,nan,0,001,001,0,001,A003,22
1,23,nan,003,1,nan,0,001,001,0,001,A003,23
1,24,nan,003,1,nan,0,001,001,0,001,A003,24
1,25,nan,003,1,nan,0,001,001,0,001,A003,25
1,26,nan,003,1,nan,0,001,001,0,001,A003,26
1,27,nan,003,1,nan,0,001,001,0,001,A003,27
1,28,nan,003,1,nan,0,001,001,0,001,A003,28
1,29,nan,003,1,nan,0,001,001,0,001,A003,29
1,30,nan,003,1,nan,0,001,001,0,001,A003,30
1,31,nan,003,1,nan,0,001,001,0,001,A003,31
1,32,nan,003,1,nan,0,001,001,0,001,A003,32
1,33,nan,003,1,nan,0,001,001,0,001,A003,33
1,34,nan,003,1,nan,0,001,001,0,001,A003,34
1,35,nan,003,1,nan,0,001,001,0,001,A003,35
1,36,nan,003,1,nan,0,001,001,0,001,A003,36
1,37,nan,003,1,nan,0,001,001,0,001,A003,37
1,38,nan,003,1,nan,0,001,001,0,001,A003,38
1,39,nan,003,1,nan,0,001,001,0,001,A003,39
1,40,nan,003,1,nan,0,001,001,0,001,A003,40
1,41,nan,003,1,nan,0,001,001,0,001,A003,41
1,42,nan,003,1,nan,0,001,001,0,001,A003,42
1,43,nan,003,1,nan,0,001,001,0,001,A003,43
1,44,nan,003,1,nan,0,001,001,0,001,A003,44
1,45,nan,003,1,nan,0,001,001,0,001,A003,45
1,46,nan,003,1,nan,0,001,001,0,001,A003,46
1,47,nan,003,1,nan,0,001,001,0,001,A003,47
1,48,nan,003,1,nan,0,001,001,0,001,A003,48
1,49,nan,003,1,nan,0,001,001,0,001,A003,49
1,50,nan,003,1,nan,0,001,001,0,001,A003,50
1,51,nan,003,1,nan,0,001,001,0,001,A003,51
1,52,nan,003,1,nan,0,001,001,0,001,A003,52
1,53,nan,003,1,nan,0,001,001,0,001,A003,53
1,54,nan,003,1,nan,0,001,001,0,001,A003,54
1,55,nan,003,1,nan,0,001,001,0,001,A003,55
1,56,nan,003,1,nan,0,001,001,0,001,A003,56
1,57,nan,003,1,nan,0,001,001,0,001,A003,57
1,58,nan,003,1,nan,0,001,001,0,001,A003,58
1,59,nan,003,1,nan,0,001,001,0,001,A003,59
1,60,nan,003,1,nan,0,001,001,0,001,A003,60
1,61,nan,003,1,nan,0,001,001,0,001,A003,61
1,62,nan,003,1,nan,0,001,001,0,001,A003,62
1,63,nan,003,1,nan,0,001,001,0,001,A003,63
1,64,nan,003,1,nan,0,001,001,0,001,A003,64
1,65,nan,003,1,nan,0,001,001,0,001,A003,65
1,66,nan,003,1,nan,0,001,001,0,001,A003,66
1,67,nan,003,1,nan,0,001,001,0,001,A003,67
1,68,nan,003,1,nan,0,001,001,0,001,A003,68
1,69,nan,003,1,nan,0,001,001,0,001,A003,69
1,70,nan,003,1,nan,0,001,001,0,001,A003,70
1,71,nan,003,1,nan,0,001,001,0,001,A003,71
2,1,nan,003,10,nan,0,001,001,0,001,A003,1
2,2,nan,003,10,nan,0,001,001,0,001,A003,2
2,3,nan,003,10,nan,0,001,001,0,001,A003,3
2,4,nan,003,10,nan,0,001,001,0,001,A003,4
2,5,nan,003,10,nan,0,001,001,0,001,A003,5
2,6,nan,003,10,nan,0,001,001,0,001,A003,6
2,7,nan,003,10,nan,0,001,001,0,001,A003,7
2,8,nan,003,10,nan,0,001,001,0,001,A003,8
2,9,nan,003,10,nan,0,001,001,0,001,A003,9
2,10,nan,003,10,nan,0,001,001,0,001,A003,10
2,11,nan,003,10,nan,0,001,001,0,001,A003,11
2,12,nan,003,10,nan,0,001,001,0,001,A003,12
2,13,nan,003,10,nan,0,001,001,0,001,A003,13
2,14,nan,003,10,nan,0,001,001,0,001,A003,14
2,15,nan,003,10,nan,0,001,001,0,001,A003,15
2,16,nan,003,10,nan,0,001,001,0,001,A003,16
2,17,nan,003,10,nan,0,001,001,0,001,A003,17
2,18,nan,003,10,nan,0,001,001,0,001,A003,18
2,19,nan,003,10,nan,0,001,001,0,001,A003,19
2,20,nan,003,10,nan,0,001,001,0,001,A003,20
2,21,nan,003,10,nan,0,001,001,0,001,A003,21
2,22,nan,003,10,nan,0,001,001,0,001,A003,22
2,23,nan,003,10,nan,0,001,001,0,001,A003,24
2,24,nan,003,10,nan,0,001,001,0,001,A003,25
2,25,nan,003,10,nan,0,001,001,0,001,A003,26
2,26,nan,003,10,nan,0,001,001,0,001,A003,27
2,27,nan,003,10,nan,0,001,001,0,001,A003,28
2,28,nan,003,10,nan,0,001,001,0,001,A003,29
2,29,nan,003,10,nan,0,001,001,0,001,A003,30
2,30,nan,003,10,nan,0,001,001,0,001,A003,31
2,31,nan,003,10,nan,0,001,001,0,001,A003,32
2,32,nan,003,10,nan,0,001,001,0,001,A003,33
2,33,nan,003,10,nan,0,001,001,0,001,A003,34
2,34,nan,003,10,nan,0,001,001,0,001,A003,35
2,35,nan,003,10,nan,0,001,001,0,001,A003,36
2,36,nan,003,10,nan,0,001,001,0,001,A003,37
2,37,nan,003,10,nan,0,001,001,0,001,A003,38
3,1,nan,003,2,nan,0,001,001,0,001,A003,1
3,2,nan,003,2,nan,0,001,001,0,001,A003,2
3,3,nan,003,2,nan,0,001,001,0,001,A003,3
3,4,nan,003,2,nan,0,001,001,0,001,A003,4
3,5,nan,003,2,nan,0,001,001,0,001,A003,5
3,6,nan,003,2,nan,0,001,001,0,001,A003,6
3,7,nan,003,2,nan,0,001,001,0,001,A003,7
3,8,nan,003,2,nan,0,001,001,0,001,A003,8
3,9,nan,003,2,nan,0,001,001,0,001,A003,9
3,10,nan,003,2,nan,0,001,001,0,001,A003,10
3,11,nan,003,2,nan,0,001,001,0,001,A003,11
3,12,nan,003,2,nan,0,001,001,0,001,A003,12
3,13,nan,003,2,nan,0,001,001,0,001,A003,13
3,14,nan,003,2,nan,0,001,001,0,001,A003,14
3,15,nan,003,2,nan,0,001,001,0,001,A003,15
3,16,nan,003,2,nan,0,001,001,0,001,A003,16
3,17,nan,003,2,nan,0,001,001,0,001,A003,17
3,18,nan,003,2,nan,0,001,001,0,001,A003,18
3,19,nan,003,2,nan,0,001,001,0,001,A003,19
3,20,nan,003,2,nan,0,001,001,0,001,A003,20
3,21,nan,003,2,nan,0,001,001,0,001,A003,21
3,22,nan,003,2,nan,0,001,001,0,001,A003,22
3,23,nan,003,2,nan,0,001,001,0,001,A003,23
3,24,nan,003,2,nan,0,001,001,0,001,A003,24
3,25,nan,003,2,nan,0,001,001,0,001,A003,25
3,26,nan,003,2,nan,0,001,001,0,001,A003,26
3,27,nan,003,2,nan,0,001,001,0,001,A003,27
3,28,nan,003,2,nan,0,001,001,0,001,A003,28
3,29,nan,003,2,nan,0,001,001,0,001,A003,29
3,30,nan,003,2,nan,0,001,001,0,001,A003,30
3,31,nan,003,2,nan,0,001,001,0,001,A003,31
3,32,nan,003,2,nan,0,001,001,0,001,A003,32
3,33,nan,003,2,nan,0,001,001,0,001,A003,33
3,34,nan,003,2,nan,0,001,001,0,001,A003,34
3,35,nan,003,2,nan,0,001,001,0,001,A003,36
3,36,nan,003,2,nan,0,001,001,0,001,A003,37
3,37,nan,003,2,nan,0,001,001,0,001,A003,38
3,38,nan,003,2,nan,0,001,001,0,001,A003,40
3,39,nan,003,2,nan,0,001,001,0,001,A003,41
3,40,nan,003,2,nan,0,001,001,0,001,A003,43
3,41,nan,003,2,nan,0,001,001,0,001,A003,44
3,42,nan,003,2,nan,0,001,001,0,001,A003,45
3,43,nan,003,2,nan,0,001,001,0,001,A003,46
3,44,nan,003,2,nan,0,001,001,0,001,A003,47
3,45,nan,003,2,nan,0,001,001,0,001,A003,48
3,46,nan,003,2,nan,0,001,001,0,001,A003,49
3,47,nan,003,2,nan,0,001,001,0,001,A003,52
3,48,nan,003,2,nan,0,001,001,0,001,A003,53
3,49,nan,003,2,nan,0,001,001,0,001,A003,54
3,50,nan,003,2,nan,0,001,001,0,001,A003,55
3,51,nan,003,2,nan,0,001,001,0,001,A003,56
3,52,nan,003,2,nan,0,001,001,0,001,A003,57
3,53,nan,003,2,nan,0,001,001,0,001,A003,59
3,54,nan,003,2,nan,0,001,001,0,001,A003,60
3,55,nan,003,2,nan,0,001,001,0,001,A003,61
3,56,nan,003,2,nan,0,001,001,0,001,A003,62
3,57,nan,003,2,nan,0,001,001,0,001,A003,63
3,58,nan,003,2,nan,0,001,001,0,001,A003,64
3,59,nan,003,2,nan,0,001,001,0,001,A003,65
