ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well
1,1,nan,003,1,nan,0,001,001,0,001,A003
1,2,nan,003,1,nan,0,001,001,0,001,A003
1,3,nan,003,1,nan,0,001,001,0,001,A003
1,4,nan,003,1,nan,0,001,001,0,001,A003
1,5,nan,003,1,nan,0,001,001,0,001,A003
1,6,nan,003,1,nan,0,001,001,0,001,A003
1,7,nan,003,1,nan,0,001,001,0,001,A003
1,8,nan,003,1,nan,0,001,001,0,001,A003
1,9,nan,003,1,nan,0,001,001,0,001,A003
1,10,nan,003,1,nan,0,001,001,0,001,A003
1,11,nan,003,1,nan,0,001,001,0,001,A003
1,12,nan,003,1,nan,0,001,001,0,001,A003
1,13,nan,003,1,nan,0,001,001,0,001,A003
1,14,nan,003,1,nan,0,001,001,0,001,A003
1,15,nan,003,1,nan,0,001,001,0,001,A003
1,16,nan,003,1,nan,0,001,001,0,001,A003
1,17,nan,003,1,nan,0,001,001,0,001,A003
1,18,nan,003,1,nan,0,001,001,0,001,A003
1,19,nan,003,1,nan,0,001,001,0,001,A003
1,20,nan,003,1,nan,0,001,001,0,001,A003
1,21,nan,003,1,nan,0,001,001,0,001,A003
1,22,nan,003,1,nan,0,001,001,0,001,A003
1,23,nan,003,1,nan,0,001,001,0,001,A003
2,1,nan,003,10,nan,0,001,001,0,001,A003
2,2,nan,003,10,nan,0,001,001,0,001,A003
2,3,nan,003,10,nan,0,001,001,0,001,A003
2,4,nan,003,10,nan,0,001,001,0,001,A003
2,5,nan,003,10,nan,0,001,001,0,001,A003
2,6,nan,003,10,nan,0,001,001,0,001,A003
2,7,nan,003,10,nan,0,001,001,0,001,A003
2,8,nan,003,10,nan,0,001,001,0,001,A003
2,9,nan,003,10,nan,0,001,001,0,001,A003
2,10,nan,003,10,nan,0,001,001,0,001,A003
2,11,nan,003,10,nan,0,001,001,0,001,A003
2,12,nan,003,10,nan,0,001,001,0,001,A003
2,13,nan,003,10,nan,0,001,001,0,001,A003
2,14,nan,003,10,nan,0,001,001,0,001,A003
3,1,nan,003,2,nan,0,001,001,0,001,A003
3,2,nan,003,2,nan,0,001,001,0,001,A003
3,3,nan,003,2,nan,0,001,001,0,001,A003
3,4,nan,003,2,nan,0,001,001,0,001,A003
3,5,nan,003,2,nan,0,001,001,0,001,A003
3,6,nan,003,2,nan,0,001,001,0,001,A003
3,7,nan,003,2,nan,0,001,001,0,001,A003
3,8,nan,003,2,nan,0,001,001,0,001,A003
3,9,nan,003,2,nan,0,001,001,0,001,A003
3,10,nan,003,2,nan,0,001,001,0,001,A003
3,11,nan,003,2,nan,0,001,001,0,001,A003
3,12,nan,003,2,nan,0,001,001,0,001,A003
3,13,nan,003,2,nan,0,001,001,0,001,A003
3,14,nan,003,2,nan,0,001,001,0,001,A003
3,15,nan,003,2,nan,0,001,001,0,001,A003
3,16,nan,003,2,nan,0,001,001,0,001,A003
3,17,nan,003,2,nan,0,001,001,0,001,A003
3,18,nan,003,2,nan,0,001,001,0,001,A003
3,19,nan,003,2,nan,0,001,001,0,001,A003
3,20,nan,003,2,nan,0,001,001,0,001,A003
3,21,nan,003,2,nan,0,001,001,0,001,A003
3,22,nan,003,2,nan,0,001,001,0,001,A003
3,23,nan,003,2,nan,0,001,001,0,001,A003
4,1,nan,003,3,nan,0,001,001,0,001,A003
4,2,nan,003,3,nan,0,001,001,0,001,A003
4,3,nan,003,3,nan,0,001,001,0,001,A003
4,4,nan,003,3,nan,0,001,001,0,001,A003
4,5,nan,003,3,nan,0,001,001,0,001,A003
4,6,nan,003,3,nan,0,001,001,0,001,A003
4,7,nan,003,3,nan,0,001,001,0,001,A003
4,8,nan,003,3,nan,0,001,001,0,001,A003
4,9,nan,003,3,nan,0,001,001,0,001,A003
4,10,nan,003,3,nan,0,001,001,0,001,A003
4,11,nan,003,3,nan,0,001,001,0,001,A003
4,12,nan,003,3,nan,0,001,001,0,001,A003
4,13,nan,003,3,nan,0,001,001,0,001,A003
4,14,nan,003,3,nan,0,001,001,0,001,A003
4,15,nan,003,3,nan,0,001,001,0,001,A003
4,16,nan,003,3,nan,0,001,001,0,001,A003
4,17,nan,003,3,nan,0,001,001,0,001,A003
5,1,nan,003,4,nan,0,001,001,0,001,A003
5,2,nan,003,4,nan,0,001,001,0,001,A003
5,3,nan,003,4,nan,0,001,001,0,001,A003
5,4,nan,003,4,nan,0,001,001,0,001,A003
5,5,nan,003,4,nan,0,001,001,0,001,A003
5,6,nan,003,4,nan,0,001,001,0,001,A003
5,7,nan,003,4,nan,0,001,001,0,001,A003
5,8,nan,003,4,nan,0,001,001,0,001,A003
5,9,nan,003,4,nan,0,001,001,0,001,A003
5,10,nan,003,4,nan,0,001,001,0,001,A003
5,11,nan,003,4,nan,0,001,001,0,001,A003
5,12,nan,003,4,nan,0,001,001,0,001,A003
5,13,nan,003,4,nan,0,001,001,0,001,A003
5,14,nan,003,4,nan,0,001,001,0,001,A003
5,15,nan,003,4,nan,0,001,001,0,001,A003
5,16,nan,003,4,nan,0,001,001,0,001,A003
6,1,nan,003,5,nan,0,001,001,0,001,A003
6,2,nan,003,5,nan,0,001,001,0,001,A003
6,3,nan,003,5,nan,0,001,001,0,001,A003
6,4,nan,003,5,nan,0,001,001,0,001,A003
6,5,nan,003,5,nan,0,001,001,0,001,A003
6,6,nan,003,5,nan,0,001,001,0,001,A003
6,7,nan,003,5,nan,0,001,001,0,001,A003
6,8,nan,003,5,nan,0,001,001,0,001,A003
6,9,nan,003,5,nan,0,001,001,0,001,A003
6,10,nan,003,5,nan,0,001,001,0,001,A003
6,11,nan,003,5,nan,0,001,001,0,001,A003
6,12,nan,003,5,nan,0,001,001,0,001,A003
6,13,nan,003,5,nan,0,001,001,0,001,A003
6,14,nan,003,5,nan,0,001,001,0,001,A003
6,15,nan,003,5,nan,0,001,001,0,001,A003
6,16,nan,003,5,nan,0,001,001,0,001,A003
6,17,nan,003,5,nan,0,001,001,0,001,A003
7,1,nan,003,6,nan,0,001,001,0,001,A003
7,2,nan,003,6,nan,0,001,001,0,001,A003
7,3,nan,003,6,nan,0,001,001,0,001,A003
7,4,nan,003,6,nan,0,001,001,0,001,A003
7,5,nan,003,6,nan,0,001,001,0,001,A003
7,6,nan,003,6,nan,0,001,001,0,001,A003
7,7,nan,003,6,nan,0,001,001,0,001,A003
7,8,nan,003,6,nan,0,001,001,0,001,A003
7,9,nan,003,6,nan,0,001,001,0,001,A003
7,10,nan,003,6,nan,0,001,001,0,001,A003
7,11,nan,003,6,nan,0,001,001,0,001,A003
7,12,nan,003,6,nan,0,001,001,0,001,A003
7,13,nan,003,6,nan,0,001,001,0,001,A003
7,14,nan,003,6,nan,0,001,001,0,001,A003
7,15,nan,003,6,nan,0,001,001,0,001,A003
7,16,nan,003,6,nan,0,001,001,0,001,A003
8,1,nan,003,7,nan,0,001,001,0,001,A003
8,2,nan,003,7,nan,0,001,001,0,001,A003
8,3,nan,003,7,nan,0,001,001,0,001,A003
8,4,nan,003,7,nan,0,001,001,0,001,A003
8,5,nan,003,7,nan,0,001,001,0,001,A003
8,6,nan,003,7,nan,0,001,001,0,001,A003
8,7,nan,003,7,nan,0,001,001,0,001,A003
8,8,nan,003,7,nan,0,001,001,0,001,A003
8,9,nan,003,7,nan,0,001,001,0,001,A003
8,10,nan,003,7,nan,0,001,001,0,001,A003
8,11,nan,003,7,nan,0,001,001,0,001,A003
8,12,nan,003,7,nan,0,001,001,0,001,A003
8,13,nan,003,7,nan,0,001,001,0,001,A003
8,14,nan,003,7,nan,0,001,001,0,001,A003
8,15,nan,003,7,nan,0,001,001,0,001,A003
8,16,nan,003,7,nan,0,001,001,0,001,A003
8,17,nan,003,7,nan,0,001,001,0,001,A003
8,18,nan,003,7,nan,0,001,001,0,001,A003
8,19,nan,003,7,nan,0,001,001,0,001,A003
8,20,nan,003,7,nan,0,001,001,0,001,A003
8,21,nan,003,7,nan,0,001,001,0,001,A003
8,22,nan,003,7,nan,0,001,001,0,001,A003
9,1,nan,003,8,nan,0,001,001,0,001,A003
9,2,nan,003,8,nan,0,001,001,0,001,A003
9,3,nan,003,8,nan,0,001,001,0,001,A003
9,4,nan,003,8,nan,0,001,001,0,001,A003
9,5,nan,003,8,nan,0,001,001,0,001,A003
9,6,nan,003,8,nan,0,001,001,0,001,A003
9,7,nan,003,8,nan,0,001,001,0,001,A003
9,8,nan,003,8,nan,0,001,001,0,001,A003
9,9,nan,003,8,nan,0,001,001,0,001,A003
9,10,nan,003,8,nan,0,001,001,0,001,A003
9,11,nan,003,8,nan,0,001,001,0,001,A003
10,1,nan,003,9,nan,0,001,001,0,001,A003
10,2,nan,003,9,nan,0,001,001,0,001,A003
10,3,nan,003,9,nan,0,001,001,0,001,A003
10,4,nan,003,9,nan,0,001,001,0,001,A003
10,5,nan,003,9,nan,0,001,001,0,001,A003
10,6,nan,003,9,nan,0,001,001,0,001,A003
10,7,nan,003,9,nan,0,001,001,0,001,A003
10,8,nan,003,9,nan,0,001,001,0,001,A003
10,9,nan,003,9,nan,0,001,001,0,001,A003
10,10,nan,003,9,nan,0,001,001,0,001,A003
10,11,nan,003,9,nan,0,001,001,0,001,A003
10,12,nan,003,9,nan,0,001,001,0,001,A003
