ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well
1,1,nan,003,1,nan,0,001,001,0,001,A003
1,2,nan,003,1,nan,0,001,001,0,001,A003
1,3,nan,003,1,nan,0,001,001,0,001,A003
1,4,nan,003,1,nan,0,001,001,0,001,A003
1,5,nan,003,1,nan,0,001,001,0,001,A003
1,6,nan,003,1,nan,0,001,001,0,001,A003
1,7,nan,003,1,nan,0,001,001,0,001,A003
1,8,nan,003,1,nan,0,001,001,0,001,A003
1,9,nan,003,1,nan,0,001,001,0,001,A003
1,10,nan,003,1,nan,0,001,001,0,001,A003
1,11,nan,003,1,nan,0,001,001,0,001,A003
1,12,nan,003,1,nan,0,001,001,0,001,A003
1,13,nan,003,1,nan,0,001,001,0,001,A003
1,14,nan,003,1,nan,0,001,001,0,001,A003
1,15,nan,003,1,nan,0,001,001,0,001,A003
1,16,nan,003,1,nan,0,001,001,0,001,A003
1,17,nan,003,1,nan,0,001,001,0,001,A003
1,18,nan,003,1,nan,0,001,001,0,001,A003
1,19,nan,003,1,nan,0,001,001,0,001,A003
1,20,nan,003,1,nan,0,001,001,0,001,A003
1,21,nan,003,1,nan,0,001,001,0,001,A003
1,22,nan,003,1,nan,0,001,001,0,001,A003
1,23,nan,003,1,nan,0,001,001,0,001,A003
1,24,nan,003,1,nan,0,001,001,0,001,A003
1,25,nan,003,1,nan,0,001,001,0,001,A003
1,26,nan,003,1,nan,0,001,001,0,001,A003
1,27,nan,003,1,nan,0,001,001,0,001,A003
1,28,nan,003,1,nan,0,001,001,0,001,A003
1,29,nan,003,1,nan,0,001,001,0,001,A003
1,30,nan,003,1,nan,0,001,001,0,001,A003
1,31,nan,003,1,nan,0,001,001,0,001,A003
1,32,nan,003,1,nan,0,001,001,0,001,A003
1,33,nan,003,1,nan,0,001,001,0,001,A003
1,34,nan,003,1,nan,0,001,001,0,001,A003
1,35,nan,003,1,nan,0,001,001,0,001,A003
1,36,nan,003,1,nan,0,001,001,0,001,A003
1,37,nan,003,1,nan,0,001,001,0,001,A003
1,38,nan,003,1,nan,0,001,001,0,001,A003
1,39,nan,003,1,nan,0,001,001,0,001,A003
1,40,nan,003,1,nan,0,001,001,0,001,A003
1,41,nan,003,1,nan,0,001,001,0,001,A003
1,42,nan,003,1,nan,0,001,001,0,001,A003
1,43,nan,003,1,nan,0,001,001,0,001,A003
1,44,nan,003,1,nan,0,001,001,0,001,A003
1,45,nan,003,1,nan,0,001,001,0,001,A003
1,46,nan,003,1,nan,0,001,001,0,001,A003
1,47,nan,003,1,nan,0,001,001,0,001,A003
1,48,nan,003,1,nan,0,001,001,0,001,A003
1,49,nan,003,1,nan,0,001,001,0,001,A003
1,50,nan,003,1,nan,0,001,001,0,001,A003
1,51,nan,003,1,nan,0,001,001,0,001,A003
1,52,nan,003,1,nan,0,001,001,0,001,A003
1,53,nan,003,1,nan,0,001,001,0,001,A003
1,54,nan,003,1,nan,0,001,001,0,001,A003
1,55,nan,003,1,nan,0,001,001,0,001,A003
1,56,nan,003,1,nan,0,001,001,0,001,A003
1,57,nan,003,1,nan,0,001,001,0,001,A003
1,58,nan,003,1,nan,0,001,001,0,001,A003
1,59,nan,003,1,nan,0,001,001,0,001,A003
1,60,nan,003,1,nan,0,001,001,0,001,A003
1,61,nan,003,1,nan,0,001,001,0,001,A003
1,62,nan,003,1,nan,0,001,001,0,001,A003
1,63,nan,003,1,nan,0,001,001,0,001,A003
1,64,nan,003,1,nan,0,001,001,0,001,A003
1,65,nan,003,1,nan,0,001,001,0,001,A003
1,66,nan,003,1,nan,0,001,001,0,001,A003
1,67,nan,003,1,nan,0,001,001,0,001,A003
2,1,nan,003,10,nan,0,001,001,0,001,A003
2,2,nan,003,10,nan,0,001,001,0,001,A003
2,3,nan,003,10,nan,0,001,001,0,001,A003
2,4,nan,003,10,nan,0,001,001,0,001,A003
2,5,nan,003,10,nan,0,001,001,0,001,A003
2,6,nan,003,10,nan,0,001,001,0,001,A003
2,7,nan,003,10,nan,0,001,001,0,001,A003
2,8,nan,003,10,nan,0,001,001,0,001,A003
2,9,nan,003,10,nan,0,001,001,0,001,A003
2,10,nan,003,10,nan,0,001,001,0,001,A003
2,11,nan,003,10,nan,0,001,001,0,001,A003
2,12,nan,003,10,nan,0,001,001,0,001,A003
2,13,nan,003,10,nan,0,001,001,0,001,A003
2,14,nan,003,10,nan,0,001,001,0,001,A003
2,15,nan,003,10,nan,0,001,001,0,001,A003
2,16,nan,003,10,nan,0,001,001,0,001,A003
2,17,nan,003,10,nan,0,001,001,0,001,A003
2,18,nan,003,10,nan,0,001,001,0,001,A003
2,19,nan,003,10,nan,0,001,001,0,001,A003
2,20,nan,003,10,nan,0,001,001,0,001,A003
2,21,nan,003,10,nan,0,001,001,0,001,A003
2,22,nan,003,10,nan,0,001,001,0,001,A003
2,23,nan,003,10,nan,0,001,001,0,001,A003
2,24,nan,003,10,nan,0,001,001,0,001,A003
2,25,nan,003,10,nan,0,001,001,0,001,A003
2,26,nan,003,10,nan,0,001,001,0,001,A003
2,27,nan,003,10,nan,0,001,001,0,001,A003
2,28,nan,003,10,nan,0,001,001,0,001,A003
2,29,nan,003,10,nan,0,001,001,0,001,A003
2,30,nan,003,10,nan,0,001,001,0,001,A003
2,31,nan,003,10,nan,0,001,001,0,001,A003
2,32,nan,003,10,nan,0,001,001,0,001,A003
2,33,nan,003,10,nan,0,001,001,0,001,A003
2,34,nan,003,10,nan,0,001,001,0,001,A003
2,35,nan,003,10,nan,0,001,001,0,001,A003
2,36,nan,003,10,nan,0,001,001,0,001,A003
3,1,nan,003,2,nan,0,001,001,0,001,A003
3,2,nan,003,2,nan,0,001,001,0,001,A003
3,3,nan,003,2,nan,0,001,001,0,001,A003
3,4,nan,003,2,nan,0,001,001,0,001,A003
3,5,nan,003,2,nan,0,001,001,0,001,A003
3,6,nan,003,2,nan,0,001,001,0,001,A003
3,7,nan,003,2,nan,0,001,001,0,001,A003
3,8,nan,003,2,nan,0,001,001,0,001,A003
3,9,nan,003,2,nan,0,001,001,0,001,A003
3,10,nan,003,2,nan,0,001,001,0,001,A003
3,11,nan,003,2,nan,0,001,001,0,001,A003
3,12,nan,003,2,nan,0,001,001,0,001,A003
3,13,nan,003,2,nan,0,001,001,0,001,A003
3,14,nan,003,2,nan,0,001,001,0,001,A003
3,15,nan,003,2,nan,0,001,001,0,001,A003
3,16,nan,003,2,nan,0,001,001,0,001,A003
3,17,nan,003,2,nan,0,001,001,0,001,A003
3,18,nan,003,2,nan,0,001,001,0,001,A003
3,19,nan,003,2,nan,0,001,001,0,001,A003
3,20,nan,003,2,nan,0,001,001,0,001,A003
3,21,nan,003,2,nan,0,001,001,0,001,A003
3,22,nan,003,2,nan,0,001,001,0,001,A003
3,23,nan,003,2,nan,0,001,001,0,001,A003
3,24,nan,003,2,nan,0,001,001,0,001,A003
3,25,nan,003,2,nan,0,001,001,0,001,A003
3,26,nan,003,2,nan,0,001,001,0,001,A003
3,27,nan,003,2,nan,0,001,001,0,001,A003
3,28,nan,003,2,nan,0,001,001,0,001,A003
3,29,nan,003,2,nan,0,001,001,0,001,A003
3,30,nan,003,2,nan,0,001,001,0,001,A003
3,31,nan,003,2,nan,0,001,001,0,001,A003
3,32,nan,003,2,nan,0,001,001,0,001,A003
3,33,nan,003,2,nan,0,001,001,0,001,A003
3,34,nan,003,2,nan,0,001,001,0,001,A003
3,35,nan,003,2,nan,0,001,001,0,001,A003
3,36,nan,003,2,nan,0,001,001,0,001,A003
3,37,nan,003,2,nan,0,001,001,0,001,A003
3,38,nan,003,2,nan,0,001,001,0,001,A003
3,39,nan,003,2,nan,0,001,001,0,001,A003
3,40,nan,003,2,nan,0,001,001,0,001,A003
3,41,nan,003,2,nan,0,001,001,0,001,A003
3,42,nan,003,2,nan,0,001,001,0,001,A003
3,43,nan,003,2,nan,0,001,001,0,001,A003
3,44,nan,003,2,nan,0,001,001,0,001,A003
3,45,nan,003,2,nan,0,001,001,0,001,A003
3,46,nan,003,2,nan,0,001,001,0,001,A003
3,47,nan,003,2,nan,0,001,001,0,001,A003
3,48,nan,003,2,nan,0,001,001,0,001,A003
3,49,nan,003,2,nan,0,001,001,0,001,A003
3,50,nan,003,2,nan,0,001,001,0,001,A003
3,51,nan,003,2,nan,0,001,001,0,001,A003
3,52,nan,003,2,nan,0,001,001,0,001,A003
3,53,nan,003,2,nan,0,001,001,0,001,A003
3,54,nan,003,2,nan,0,001,001,0,001,A003
3,55,nan,003,2,nan,0,001,001,0,001,A003
3,56,nan,003,2,nan,0,001,001,0,001,A003
3,57,nan,003,2,nan,0,001,001,0,001,A003
3,58,nan,003,2,nan,0,001,001,0,001,A003
3,59,nan,003,2,nan,0,001,001,0,001,A003
3,60,nan,003,2,nan,0,001,001,0,001,A003
3,61,nan,003,2,nan,0,001,001,0,001,A003
3,62,nan,003,2,nan,0,001,001,0,001,A003
3,63,nan,003,2,nan,0,001,001,0,001,A003
3,64,nan,003,2,nan,0,001,001,0,001,A003
3,65,nan,003,2,nan,0,001,001,0,001,A003
3,66,nan,003,2,nan,0,001,001,0,001,A003
3,67,nan,003,2,nan,0,001,001,0,001,A003
3,68,nan,003,2,nan,0,001,001,0,001,A003
